event_id,customer_id,event_date,event_month,event_type,mrr,plan_name
EVT000127,CUST0009,2024-01-22,2024-01,Recurring,149,Business
EVT000128,CUST0009,2024-02-21,2024-02,Recurring,149,Business
EVT000129,CUST0009,2024-03-22,2024-03,Recurring,149,Business
EVT000130,CUST0010,2022-08-10,2022-08,New,79,Professional
EVT000131,CUST0010,2022-09-09,2022-09,Recurring,79,Professional
EVT000132,CUST0010,2022-10-09,2022-10,Recurring,79,Professional
EVT000133,CUST0010,2022-11-08,2022-11,Recurring,79,Professional
EVT000134,CUST0010,2022-12-08,2022-12,Recurring,79,Professional
EVT000135,CUST0010,2023-01-07,2023-01,Recurring,79,Professional
EVT000136,CUST0010,2023-02-06,2023-02,Recurring,79,Professional
EVT000137,CUST0010,2023-03-08,2023-03,Recurring,79,Professional
EVT000138,CUST0010,2023-04-07,2023-04,Recurring,79,Professional
EVT000139,CUST0010,2023-05-07,2023-05,Recurring,79,Professional
EVT000140,CUST0010,2023-06-06,2023-06,Recurring,79,Professional
EVT000141,CUST0010,2023-07-06,2023-07,Recurring,79,Professional
EVT000142,CUST0010,2023-08-05,2023-08,Recurring,79,Professional
EVT000143,CUST0010,2023-09-04,2023-09,Recurring,79,Professional
EVT000144,CUST0010,2023-10-04,2023-10,Recurring,79,Professional
EVT000145,CUST0010,2023-11-03,2023-11,Recurring,79,Professional
EVT000146,CUST0010,2023-12-03,2023-12,Recurring,79,Professional
EVT000147,CUST0010,2024-01-02,2024-01,Recurring,79,Professional
EVT000148,CUST0010,2024-02-01,2024-02,Recurring,79,Professional
EVT000149,CUST0010,2024-03-02,2024-03,Recurring,79,Professional
EVT000150,CUST0011,2022-02-08,2022-02,New,299,Enterprise
EVT000151,CUST0011,2022-03-10,2022-03,Recurring,299,Enterprise
EVT000152,CUST0011,2022-04-09,2022-04,Recurring,299,Enterprise
EVT000153,CUST0011,2022-05-09,2022-05,Recurring,299,Enterprise
EVT000154,CUST0011,2022-06-08,2022-06,Recurring,299,Enterprise
EVT000155,CUST0011,2022-07-08,2022-07,Recurring,299,Enterprise
EVT000156,CUST0011,2022-08-07,2022-08,Recurring,299,Enterprise
EVT000157,CUST0011,2022-09-06,2022-09,Recurring,299,Enterprise
EVT000158,CUST0011,2022-10-06,2022-10,Recurring,299,Enterprise
EVT000159,CUST0011,2022-11-05,2022-11,Recurring,299,Enterprise
EVT000160,CUST0011,2022-12-05,2022-12,Recurring,299,Enterprise
EVT000161,CUST0011,2023-01-04,2023-01,Recurring,299,Enterprise
EVT000162,CUST0011,2023-02-03,2023-02,Recurring,299,Enterprise
EVT000163,CUST0011,2023-03-05,2023-03,Recurring,299,Enterprise
EVT000164,CUST0011,2023-04-04,2023-04,Recurring,299,Enterprise
EVT000165,CUST0011,2023-05-04,2023-05,Recurring,299,Enterprise
EVT000166,CUST0011,2023-06-03,2023-06,Recurring,299,Enterprise
EVT000167,CUST0011,2023-07-03,2023-07,Recurring,299,Enterprise
EVT000168,CUST0011,2023-08-02,2023-08,Recurring,299,Enterprise
EVT000169,CUST0011,2023-09-01,2023-09,Recurring,299,Enterprise
EVT000170,CUST0011,2023-10-01,2023-10,Recurring,299,Enterprise
EVT000171,CUST0011,2023-10-31,2023-10,Recurring,299,Enterprise
EVT000172,CUST0011,2023-11-30,2023-11,Recurring,299,Enterprise
EVT000173,CUST0011,2023-12-30,2023-12,Recurring,299,Enterprise
EVT000174,CUST0011,2024-01-29,2024-01,Recurring,299,Enterprise
EVT000175,CUST0011,2024-02-28,2024-02,Recurring,299,Enterprise
EVT000176,CUST0011,2024-03-29,2024-03,Recurring,299,Enterprise
EVT000177,CUST0012,2022-08-12,2022-08,New,149,Business
EVT000178,CUST0012,2022-09-11,2022-09,Recurring,149,Business
EVT000179,CUST0012,2022-10-11,2022-10,Recurring,149,Business
EVT000180,CUST0012,2022-11-10,2022-11,Recurring,149,Business
EVT000181,CUST0012,2022-12-10,2022-12,Recurring,149,Business
EVT000182,CUST0012,2023-01-09,2023-01,Recurring,149,Business
EVT000183,CUST0012,2023-02-08,2023-02,Recurring,149,Business
EVT000184,CUST0012,2023-03-10,2023-03,Recurring,149,Business
EVT000185,CUST0012,2023-04-09,2023-04,Recurring,149,Business
EVT000186,CUST0012,2023-05-09,2023-05,Recurring,149,Business
EVT000187,CUST0012,2023-06-08,2023-06,Recurring,149,Business
EVT000188,CUST0012,2023-07-08,2023-07,Recurring,149,Business
EVT000189,CUST0012,2023-08-07,2023-08,Recurring,149,Business
EVT000190,CUST0012,2023-09-06,2023-09,Recurring,149,Business
EVT000191,CUST0012,2023-10-06,2023-10,Recurring,149,Business
EVT000192,CUST0012,2023-11-05,2023-11,Recurring,149,Business
EVT000193,CUST0012,2023-12-05,2023-12,Recurring,149,Business
EVT000194,CUST0012,2024-01-04,2024-01,Recurring,149,Business
EVT000195,CUST0012,2024-02-03,2024-02,Recurring,149,Business
EVT000196,CUST0012,2024-03-04,2024-03,Recurring,149,Business
EVT000197,CUST0013,2023-03-08,2023-03,New,299,Enterprise
EVT000198,CUST0013,2023-04-07,2023-04,Recurring,299,Enterprise
EVT000199,CUST0013,2023-05-07,2023-05,Recurring,299,Enterprise
EVT000200,CUST0013,2023-06-06,2023-06,Recurring,299,Enterprise
EVT000201,CUST0013,2023-07-06,2023-07,Recurring,299,Enterprise
EVT000202,CUST0013,2023-08-05,2023-08,Recurring,299,Enterprise
EVT000203,CUST0013,2023-09-04,2023-09,Recurring,299,Enterprise
EVT000204,CUST0013,2023-10-04,2023-10,Recurring,299,Enterprise
EVT000205,CUST0013,2023-11-03,2023-11,Recurring,299,Enterprise
EVT000206,CUST0013,2023-12-03,2023-12,Recurring,299,Enterprise
EVT000207,CUST0013,2024-01-02,2024-01,Recurring,299,Enterprise
EVT000208,CUST0013,2024-02-01,2024-02,Recurring,299,Enterprise
EVT000209,CUST0013,2024-03-02,2024-03,Recurring,299,Enterprise
EVT000210,CUST0014,2023-09-18,2023-09,New,29,Starter
EVT000211,CUST0014,2023-10-18,2023-10,Recurring,29,Starter
EVT000212,CUST0015,2022-10-30,2022-10,New,299,Enterprise
EVT000213,CUST0015,2022-11-29,2022-11,Recurring,299,Enterprise
EVT000214,CUST0015,2022-12-29,2022-12,Recurring,299,Enterprise
EVT000215,CUST0015,2023-01-28,2023-01,Recurring,299,Enterprise
EVT000216,CUST0015,2023-02-27,2023-02,Recurring,299,Enterprise
EVT000217,CUST0015,2023-03-29,2023-03,Recurring,299,Enterprise
EVT000218,CUST0015,2023-04-28,2023-04,Recurring,299,Enterprise
EVT000219,CUST0015,2023-05-28,2023-05,Recurring,299,Enterprise
EVT000220,CUST0015,2023-06-27,2023-06,Recurring,299,Enterprise
EVT000221,CUST0015,2023-07-27,2023-07,Recurring,299,Enterprise
EVT000222,CUST0015,2023-08-26,2023-08,Recurring,299,Enterprise
EVT000223,CUST0015,2023-09-25,2023-09,Recurring,299,Enterprise
EVT000224,CUST0015,2023-10-25,2023-10,Recurring,299,Enterprise
EVT000225,CUST0015,2023-11-24,2023-11,Recurring,299,Enterprise
EVT000226,CUST0015,2023-12-24,2023-12,Recurring,299,Enterprise
EVT000227,CUST0015,2024-01-23,2024-01,Recurring,299,Enterprise
EVT000228,CUST0015,2024-02-22,2024-02,Recurring,299,Enterprise
EVT000229,CUST0015,2024-03-23,2024-03,Recurring,299,Enterprise
EVT000230,CUST0016,2023-02-14,2023-02,New,29,Starter
EVT000231,CUST0016,2023-03-16,2023-03,Recurring,29,Starter
EVT000232,CUST0016,2023-04-15,2023-04,Recurring,29,Starter
EVT000233,CUST0016,2023-05-15,2023-05,Recurring,29,Starter
EVT000234,CUST0016,2023-06-14,2023-06,Recurring,29,Starter
EVT000235,CUST0016,2023-07-14,2023-07,Recurring,29,Starter
EVT000236,CUST0016,2023-08-13,2023-08,Recurring,29,Starter
EVT000237,CUST0016,2023-09-12,2023-09,Recurring,29,Starter
EVT000238,CUST0016,2023-10-12,2023-10,Recurring,29,Starter
EVT000239,CUST0016,2023-11-11,2023-11,Recurring,29,Starter
EVT000240,CUST0016,2023-12-11,2023-12,Recurring,29,Starter
EVT000241,CUST0016,2024-01-10,2024-01,Recurring,29,Starter
EVT000242,CUST0016,2024-02-09,2024-02,Recurring,29,Starter
EVT000243,CUST0016,2024-03-10,2024-03,Recurring,29,Starter
EVT000244,CUST0017,2023-06-08,2023-06,New,149,Business
EVT000245,CUST0017,2023-07-08,2023-07,Recurring,149,Business
EVT000246,CUST0017,2023-08-07,2023-08,Recurring,149,Business
EVT000247,CUST0017,2023-09-06,2023-09,Recurring,149,Business
EVT000248,CUST0017,2023-10-06,2023-10,Recurring,149,Business
EVT000249,CUST0017,2023-11-05,2023-11,Recurring,149,Business
EVT000250,CUST0017,2023-12-05,2023-12,Recurring,149,Business
EVT000251,CUST0017,2024-01-04,2024-01,Recurring,149,Business
EVT000252,CUST0017,2024-02-03,2024-02,Recurring,149,Business
EVT000253,CUST0017,2024-03-04,2024-03,Recurring,149,Business
EVT000254,CUST0018,2022-07-25,2022-07,New,149,Business
EVT000255,CUST0018,2022-08-24,2022-08,Recurring,149,Business
EVT000256,CUST0018,2022-09-23,2022-09,Recurring,149,Business
EVT000257,CUST0018,2022-10-23,2022-10,Recurring,149,Business
EVT000258,CUST0018,2022-11-22,2022-11,Recurring,149,Business
EVT000259,CUST0018,2022-12-22,2022-12,Recurring,149,Business
EVT000260,CUST0018,2023-01-21,2023-01,Recurring,149,Business
EVT000261,CUST0018,2023-02-20,2023-02,Recurring,149,Business
EVT000262,CUST0018,2023-03-22,2023-03,Recurring,149,Business
EVT000263,CUST0018,2023-04-21,2023-04,Recurring,149,Business
EVT000264,CUST0018,2023-05-21,2023-05,Recurring,149,Business
EVT000265,CUST0018,2023-06-20,2023-06,Recurring,149,Business
EVT000266,CUST0018,2023-07-20,2023-07,Recurring,149,Business
EVT000267,CUST0018,2023-08-19,2023-08,Recurring,149,Business
EVT000268,CUST0019,2022-04-13,2022-04,New,299,Enterprise
EVT000269,CUST0019,2022-05-13,2022-05,Recurring,299,Enterprise
EVT000270,CUST0019,2022-06-12,2022-06,Recurring,299,Enterprise
EVT000271,CUST0019,2022-07-12,2022-07,Recurring,299,Enterprise
EVT000272,CUST0019,2022-08-11,2022-08,Recurring,299,Enterprise
EVT000273,CUST0019,2022-09-10,2022-09,Recurring,299,Enterprise
EVT000274,CUST0019,2022-10-10,2022-10,Recurring,299,Enterprise
EVT000275,CUST0019,2022-11-09,2022-11,Recurring,299,Enterprise
EVT000276,CUST0019,2022-12-09,2022-12,Recurring,299,Enterprise
EVT000277,CUST0019,2023-01-08,2023-01,Recurring,299,Enterprise
EVT000278,CUST0019,2023-02-07,2023-02,Recurring,299,Enterprise
EVT000279,CUST0019,2023-03-09,2023-03,Recurring,299,Enterprise
EVT000280,CUST0019,2023-04-08,2023-04,Recurring,299,Enterprise
EVT000281,CUST0019,2023-05-08,2023-05,Recurring,299,Enterprise
EVT000282,CUST0020,2023-04-20,2023-04,New,79,Professional
EVT000283,CUST0020,2023-05-20,2023-05,Recurring,79,Professional
EVT000284,CUST0020,2023-06-19,2023-06,Recurring,79,Professional
EVT000285,CUST0020,2023-07-19,2023-07,Recurring,79,Professional
EVT000286,CUST0020,2023-08-18,2023-08,Recurring,79,Professional
EVT000287,CUST0020,2023-09-17,2023-09,Recurring,79,Professional
EVT000288,CUST0020,2023-10-17,2023-10,Recurring,79,Professional
EVT000289,CUST0020,2023-11-16,2023-11,Recurring,79,Professional
EVT000290,CUST0020,2023-12-16,2023-12,Recurring,79,Professional
EVT000291,CUST0020,2024-01-15,2024-01,Recurring,79,Professional
EVT000292,CUST0020,2024-02-14,2024-02,Recurring,79,Professional
EVT000293,CUST0020,2024-03-15,2024-03,Recurring,79,Professional
EVT000294,CUST0021,2022-06-23,2022-06,New,299,Enterprise
EVT000295,CUST0021,2022-07-23,2022-07,Recurring,299,Enterprise
EVT000296,CUST0021,2022-08-22,2022-08,Recurring,299,Enterprise
EVT000297,CUST0021,2022-09-21,2022-09,Recurring,299,Enterprise
EVT000298,CUST0021,2022-10-21,2022-10,Recurring,299,Enterprise
EVT000299,CUST0021,2022-11-20,2022-11,Recurring,299,Enterprise
EVT000300,CUST0021,2022-12-20,2022-12,Recurring,299,Enterprise
EVT000301,CUST0021,2023-01-19,2023-01,Recurring,299,Enterprise
EVT000302,CUST0021,2023-02-18,2023-02,Recurring,299,Enterprise
EVT000303,CUST0021,2023-03-20,2023-03,Recurring,299,Enterprise
EVT000304,CUST0021,2023-04-19,2023-04,Recurring,299,Enterprise
EVT000305,CUST0021,2023-05-19,2023-05,Recurring,299,Enterprise
EVT000306,CUST0021,2023-06-18,2023-06,Recurring,299,Enterprise
EVT000307,CUST0021,2023-07-18,2023-07,Recurring,299,Enterprise
EVT000308,CUST0021,2023-08-17,2023-08,Recurring,299,Enterprise
EVT000309,CUST0021,2023-09-16,2023-09,Recurring,299,Enterprise
EVT000310,CUST0021,2023-10-16,2023-10,Recurring,299,Enterprise
EVT000311,CUST0021,2023-11-15,2023-11,Recurring,299,Enterprise
EVT000312,CUST0021,2023-12-15,2023-12,Recurring,299,Enterprise
EVT000313,CUST0021,2024-01-14,2024-01,Recurring,299,Enterprise
EVT000314,CUST0021,2024-02-13,2024-02,Recurring,299,Enterprise
EVT000315,CUST0021,2024-03-14,2024-03,Recurring,299,Enterprise
EVT000316,CUST0022,2022-01-13,2022-01,New,79,Professional
EVT000317,CUST0022,2022-02-12,2022-02,Recurring,79,Professional
EVT000318,CUST0022,2022-03-14,2022-03,Recurring,79,Professional
EVT000319,CUST0022,2022-04-13,2022-04,Recurring,79,Professional
EVT000320,CUST0022,2022-05-13,2022-05,Recurring,79,Professional
EVT000321,CUST0022,2022-06-12,2022-06,Recurring,79,Professional
EVT000322,CUST0022,2022-07-12,2022-07,Recurring,79,Professional
EVT000323,CUST0022,2022-08-11,2022-08,Recurring,79,Professional
EVT000324,CUST0022,2022-09-10,2022-09,Recurring,79,Professional
EVT000325,CUST0022,2022-10-10,2022-10,Recurring,79,Professional
EVT000326,CUST0022,2022-11-09,2022-11,Recurring,79,Professional
EVT000327,CUST0022,2022-12-09,2022-12,Recurring,79,Professional
EVT000328,CUST0022,2023-01-08,2023-01,Recurring,79,Professional
EVT000329,CUST0022,2023-02-07,2023-02,Recurring,79,Professional
EVT000330,CUST0022,2023-03-09,2023-03,Recurring,79,Professional
EVT000331,CUST0022,2023-04-08,2023-04,Recurring,79,Professional
EVT000332,CUST0022,2023-05-08,2023-05,Recurring,79,Professional
EVT000333,CUST0022,2023-06-07,2023-06,Recurring,79,Professional
EVT000334,CUST0022,2023-07-07,2023-07,Recurring,79,Professional
EVT000335,CUST0022,2023-08-06,2023-08,Recurring,79,Professional
EVT000336,CUST0022,2023-09-05,2023-09,Recurring,79,Professional
EVT000337,CUST0022,2023-10-05,2023-10,Recurring,79,Professional
EVT000338,CUST0022,2023-11-04,2023-11,Recurring,79,Professional
EVT000339,CUST0022,2023-12-04,2023-12,Recurring,79,Professional
EVT000340,CUST0022,2024-01-03,2024-01,Recurring,79,Professional
EVT000341,CUST0022,2024-02-02,2024-02,Recurring,79,Professional
EVT000342,CUST0022,2024-03-03,2024-03,Recurring,79,Professional
EVT000343,CUST0023,2022-12-17,2022-12,New,79,Professional
EVT000344,CUST0023,2023-01-16,2023-01,Recurring,79,Professional
EVT000345,CUST0023,2023-02-15,2023-02,Recurring,79,Professional
EVT000346,CUST0023,2023-03-17,2023-03,Upgrade,149,Professional
EVT000347,CUST0023,2023-04-16,2023-04,Recurring,79,Professional
EVT000348,CUST0023,2023-05-16,2023-05,Recurring,79,Professional
EVT000349,CUST0023,2023-06-15,2023-06,Recurring,79,Professional
EVT000350,CUST0023,2023-07-15,2023-07,Recurring,79,Professional
EVT000351,CUST0023,2023-08-14,2023-08,Recurring,79,Professional
EVT000352,CUST0023,2023-09-13,2023-09,Recurring,79,Professional
EVT000353,CUST0023,2023-10-13,2023-10,Recurring,79,Professional
EVT000354,CUST0023,2023-11-12,2023-11,Recurring,79,Professional
EVT000355,CUST0023,2023-12-12,2023-12,Recurring,79,Professional
EVT000356,CUST0023,2024-01-11,2024-01,Recurring,79,Professional
EVT000357,CUST0023,2024-02-10,2024-02,Recurring,79,Professional
EVT000358,CUST0023,2024-03-11,2024-03,Recurring,79,Professional
EVT000359,CUST0024,2022-06-25,2022-06,New,29,Starter
EVT000360,CUST0024,2022-07-25,2022-07,Recurring,29,Starter
EVT000361,CUST0024,2022-08-24,2022-08,Recurring,29,Starter
EVT000362,CUST0024,2022-09-23,2022-09,Recurring,29,Starter
EVT000363,CUST0024,2022-10-23,2022-10,Recurring,29,Starter
EVT000364,CUST0024,2022-11-22,2022-11,Recurring,29,Starter
EVT000365,CUST0024,2022-12-22,2022-12,Recurring,29,Starter
EVT000366,CUST0024,2023-01-21,2023-01,Recurring,29,Starter
EVT000367,CUST0024,2023-02-20,2023-02,Recurring,29,Starter
EVT000368,CUST0024,2023-03-22,2023-03,Recurring,29,Starter
EVT000369,CUST0024,2023-04-21,2023-04,Recurring,29,Starter
EVT000370,CUST0024,2023-05-21,2023-05,Recurring,29,Starter
EVT000371,CUST0024,2023-06-20,2023-06,Recurring,29,Starter
EVT000372,CUST0025,2022-03-30,2022-03,New,29,Starter
EVT000373,CUST0025,2022-04-29,2022-04,Recurring,29,Starter
EVT000374,CUST0025,2022-05-29,2022-05,Recurring,29,Starter
EVT000375,CUST0025,2022-06-28,2022-06,Recurring,29,Starter
EVT000376,CUST0025,2022-07-28,2022-07,Recurring,29,Starter
EVT000377,CUST0025,2022-08-27,2022-08,Recurring,29,Starter
EVT000378,CUST0025,2022-09-26,2022-09,Recurring,29,Starter
EVT000379,CUST0025,2022-10-26,2022-10,Recurring,29,Starter
EVT000380,CUST0025,2022-11-25,2022-11,Recurring,29,Starter
EVT000381,CUST0025,2022-12-25,2022-12,Recurring,29,Starter
EVT000382,CUST0025,2023-01-24,2023-01,Recurring,29,Starter
EVT000383,CUST0025,2023-02-23,2023-02,Recurring,29,Starter
EVT000384,CUST0025,2023-03-25,2023-03,Recurring,29,Starter
EVT000385,CUST0025,2023-04-24,2023-04,Recurring,29,Starter
EVT000386,CUST0025,2023-05-24,2023-05,Recurring,29,Starter
EVT000387,CUST0025,2023-06-23,2023-06,Recurring,29,Starter
EVT000388,CUST0025,2023-07-23,2023-07,Recurring,29,Starter
EVT000389,CUST0025,2023-08-22,2023-08,Recurring,29,Starter
EVT000390,CUST0025,2023-09-21,2023-09,Recurring,29,Starter
EVT000391,CUST0025,2023-10-21,2023-10,Recurring,29,Starter
EVT000392,CUST0025,2023-11-20,2023-11,Recurring,29,Starter
EVT000393,CUST0025,2023-12-20,2023-12,Recurring,29,Starter
EVT000394,CUST0025,2024-01-19,2024-01,Recurring,29,Starter
