customer_id,signup_date,plan_name,billing_cycle,industry,country,acquisition_channel,company_size,monthly_price,annual_price,contract_value,is_churned,churn_date,tenure_months,usage_score,support_tickets,cancel_reason
CUST0053,2022-07-16,Starter,Annual,SaaS,UK,Partner,51-200,29,278,278,1,2022-12-13,5,39,6,Too expensive
CUST0054,2023-03-30,Professional,Monthly,Logistics,Australia,Referral,1-10,79,758,79,0,,12,56,1,
CUST0055,2022-08-02,Business,Annual,Media,Brazil,Paid Ads,51-200,149,1430,1430,1,2023-08-27,13,63,2,Switched to competitor
CUST0056,2022-01-22,Starter,Annual,E-Commerce,UK,Direct,1-10,29,278,278,0,,26,40,2,
CUST0057,2023-01-07,Starter,Monthly,HealthTech,Germany,Organic Search,51-200,29,278,29,1,2023-05-07,4,30,2,No longer needed
CUST0058,2023-02-05,Professional,Monthly,Media,Nigeria,Partner,51-200,79,758,79,0,,14,63,2,
CUST0059,2022-04-18,Enterprise,Annual,Logistics,UK,Organic Search,11-50,299,2870,2870,1,2023-05-13,13,33,5,Switched to competitor
CUST0060,2023-02-22,Enterprise,Monthly,E-Commerce,Germany,Social Media,51-200,299,2870,299,0,,13,74,0,
CUST0061,2023-07-16,Professional,Monthly,EdTech,India,Partner,51-200,79,758,79,1,2024-02-11,7,32,6,Too expensive
CUST0062,2023-05-19,Starter,Annual,HR Tech,Germany,Paid Ads,51-200,29,278,278,0,,10,60,1,
CUST0063,2023-04-10,Business,Monthly,Logistics,UK,Social Media,500+,149,1430,149,0,,11,64,0,
CUST0064,2022-01-16,Business,Annual,FinTech,Brazil,Paid Ads,51-200,149,1430,1430,1,2023-03-12,14,28,3,Too expensive
CUST0065,2022-01-04,Starter,Monthly,EdTech,UK,Social Media,11-50,29,278,29,0,,27,97,3,
CUST0066,2022-10-23,Business,Monthly,FinTech,Germany,Organic Search,51-200,149,1430,149,0,,17,61,3,
CUST0067,2023-01-16,Enterprise,Monthly,E-Commerce,Germany,Partner,11-50,299,2870,299,0,,14,65,2,
CUST0068,2023-08-13,Business,Monthly,EdTech,India,Social Media,11-50,149,1430,149,0,,7,63,3,
CUST0069,2022-03-23,Professional,Monthly,SaaS,Germany,Direct,1-10,79,758,79,1,2022-04-22,1,30,1,Missing features
CUST0070,2023-06-26,Business,Monthly,Logistics,India,Referral,11-50,149,1430,149,0,,9,57,2,
CUST0071,2022-06-19,Starter,Monthly,HR Tech,Germany,Social Media,201-500,29,278,29,0,,21,65,1,
CUST0072,2023-09-24,Starter,Monthly,E-Commerce,Brazil,Paid Ads,11-50,29,278,29,0,,6,58,3,
CUST0073,2022-12-05,Business,Monthly,Logistics,Australia,Social Media,1-10,149,1430,149,1,2023-08-02,8,36,4,Usability issues
CUST0074,2023-02-22,Enterprise,Monthly,HealthTech,UK,Organic Search,51-200,299,2870,299,1,2023-10-20,8,19,7,Missing features
CUST0075,2022-09-26,Professional,Monthly,E-Commerce,India,Partner,201-500,79,758,79,0,,18,60,1,
CUST0076,2023-05-08,Professional,Annual,E-Commerce,Brazil,Direct,11-50,79,758,758,0,,10,100,3,
CUST0077,2023-09-04,Professional,Monthly,HR Tech,Canada,Direct,1-10,79,758,79,0,,6,62,2,
CUST0078,2023-05-17,Starter,Monthly,Logistics,USA,Social Media,1-10,29,278,29,0,,10,58,0,
CUST0079,2023-07-15,Professional,Monthly,FinTech,Canada,Paid Ads,51-200,79,758,79,1,2023-11-12,4,34,6,Usability issues
CUST0080,2022-03-03,Enterprise,Annual,FinTech,Australia,Paid Ads,500+,299,2870,2870,1,2023-02-26,12,56,1,Switched to competitor
CUST0081,2023-06-14,Business,Monthly,SaaS,Brazil,Referral,201-500,149,1430,149,0,,9,75,0,
CUST0082,2023-04-08,Starter,Annual,FinTech,Australia,Direct,201-500,29,278,278,0,2024-03-31,13,60,3,
CUST0083,2022-12-09,Business,Annual,HR Tech,Brazil,Organic Search,11-50,149,1430,1430,1,2023-05-08,5,64,6,Usability issues
CUST0084,2022-01-04,Starter,Monthly,Logistics,Germany,Referral,201-500,29,278,29,0,,27,53,2,
CUST0085,2023-02-04,Starter,Annual,SaaS,Canada,Organic Search,51-200,29,278,278,1,2023-03-06,1,23,4,Too expensive
CUST0086,2022-05-16,Professional,Annual,Media,UK,Social Media,1-10,79,758,758,1,2023-06-10,13,40,3,Too expensive
CUST0087,2023-08-17,Business,Annual,FinTech,UK,Organic Search,11-50,149,1430,1430,0,2024-03-31,12,60,2,
CUST0088,2022-09-02,Starter,Monthly,HealthTech,Canada,Partner,1-10,29,278,29,0,,19,75,1,
CUST0089,2022-11-21,Professional,Monthly,EdTech,Australia,Direct,201-500,79,758,79,0,,16,42,1,
CUST0090,2023-04-03,Enterprise,Annual,SaaS,USA,Social Media,1-10,299,2870,2870,1,2024-03-28,12,81,3,Too expensive
CUST0091,2022-07-30,Starter,Annual,FinTech,UK,Organic Search,500+,29,278,278,1,2022-11-27,4,38,2,Too expensive
CUST0092,2022-01-20,Business,Annual,Logistics,Nigeria,Paid Ads,11-50,149,1430,1430,0,,26,67,3,
CUST0093,2022-07-04,Professional,Monthly,Logistics,Canada,Referral,1-10,79,758,79,0,,21,75,1,
CUST0094,2022-07-25,Starter,Annual,EdTech,Brazil,Organic Search,11-50,29,278,278,0,,20,49,1,
CUST0095,2022-05-07,Starter,Monthly,HealthTech,UK,Paid Ads,1-10,29,278,29,0,,23,77,2,
CUST0096,2022-03-24,Business,Monthly,FinTech,Brazil,Social Media,51-200,149,1430,149,0,,24,51,2,
CUST0097,2023-06-16,Professional,Annual,HR Tech,Nigeria,Direct,51-200,79,758,758,0,,9,61,1,
CUST0098,2022-03-11,Business,Annual,E-Commerce,Australia,Partner,1-10,149,1430,1430,0,,25,62,2,
CUST0099,2022-01-17,Starter,Monthly,Logistics,USA,Organic Search,51-200,29,278,29,0,,26,66,1,
CUST0100,2023-05-09,Starter,Annual,E-Commerce,Nigeria,Referral,51-200,29,278,278,0,2024-03-31,13,53,0,
CUST0101,2023-05-10,Business,Monthly,SaaS,Germany,Direct,500+,149,1430,149,0,,10,71,0,
CUST0102,2023-06-19,Professional,Monthly,Logistics,USA,Direct,51-200,79,758,79,0,,9,86,2,
CUST0103,2023-07-29,Starter,Monthly,E-Commerce,Nigeria,Paid Ads,1-10,29,278,29,1,2023-09-27,2,14,7,Switched to competitor
CUST0104,2023-06-02,Enterprise,Monthly,HR Tech,USA,Partner,1-10,299,2870,299,0,,10,69,2,
CUST0105,2022-09-08,Starter,Monthly,FinTech,Canada,Paid Ads,51-200,29,278,29,0,,19,74,1,
CUST0106,2023-08-03,Professional,Monthly,EdTech,India,Social Media,11-50,79,758,79,1,2023-09-02,1,27,3,Missing features
CUST0107,2023-08-27,Starter,Monthly,Media,UK,Paid Ads,51-200,29,278,29,0,,7,69,0,
CUST0108,2022-12-06,Business,Monthly,HealthTech,Canada,Direct,1-10,149,1430,149,0,,16,61,1,
CUST0109,2023-07-28,Business,Monthly,Media,Nigeria,Social Media,1-10,149,1430,149,1,2023-11-25,4,42,5,Switched to competitor
CUST0110,2023-01-24,Professional,Annual,FinTech,Australia,Direct,11-50,79,758,758,1,2024-01-19,12,79,3,Too expensive
CUST0111,2023-03-14,Professional,Annual,HealthTech,Brazil,Partner,201-500,79,758,758,0,,12,76,1,
CUST0112,2023-06-30,Professional,Monthly,EdTech,Nigeria,Direct,51-200,79,758,79,0,,9,68,2,
CUST0113,2022-03-07,Professional,Annual,HR Tech,USA,Paid Ads,11-50,79,758,758,1,2023-05-31,15,24,6,Too expensive
CUST0114,2023-04-29,Starter,Monthly,Media,UK,Organic Search,1-10,29,278,29,0,,11,64,0,
CUST0115,2023-06-20,Enterprise,Annual,SaaS,Brazil,Organic Search,201-500,299,2870,2870,0,,9,58,2,
CUST0116,2023-01-21,Starter,Monthly,SaaS,Brazil,Partner,51-200,29,278,29,0,,14,68,0,
CUST0117,2022-07-26,Professional,Monthly,E-Commerce,Australia,Paid Ads,51-200,79,758,79,0,,20,79,3,
CUST0118,2023-09-07,Enterprise,Annual,E-Commerce,USA,Partner,1-10,299,2870,2870,0,2024-03-31,13,78,0,
CUST0119,2022-09-21,Starter,Monthly,EdTech,India,Direct,51-200,29,278,29,0,,18,80,0,
CUST0120,2023-01-14,Starter,Annual,Logistics,USA,Organic Search,51-200,29,278,278,1,2024-01-09,12,42,7,Budget cuts
CUST0121,2023-01-16,Enterprise,Annual,HealthTech,Nigeria,Partner,51-200,299,2870,2870,0,,14,71,0,
CUST0122,2023-07-13,Professional,Monthly,SaaS,Germany,Paid Ads,51-200,79,758,79,1,2023-08-12,1,38,5,Too expensive
CUST0123,2023-06-29,Starter,Annual,HealthTech,Germany,Partner,1-10,29,278,278,0,,9,70,2,
CUST0124,2022-04-15,Starter,Monthly,Media,Canada,Paid Ads,201-500,29,278,29,0,,23,89,3,
CUST0125,2022-07-11,Starter,Annual,SaaS,Brazil,Social Media,1-10,29,278,278,1,2023-11-03,16,24,4,Usability issues
CUST0126,2023-01-28,Business,Monthly,HR Tech,Nigeria,Referral,201-500,149,1430,149,0,,14,79,0,
CUST0127,2022-01-01,Enterprise,Monthly,Media,Germany,Paid Ads,11-50,299,2870,299,0,,27,82,0,
CUST0128,2022-12-01,Business,Annual,EdTech,UK,Paid Ads,51-200,149,1430,1430,1,2023-11-26,12,56,1,Too expensive
CUST0129,2022-02-19,Professional,Annual,FinTech,Nigeria,Organic Search,500+,79,758,758,0,,25,64,1,
CUST0130,2023-03-07,Starter,Annual,SaaS,Australia,Organic Search,11-50,29,278,278,1,2024-03-01,12,24,1,Usability issues
CUST0131,2023-02-12,Starter,Monthly,HealthTech,Australia,Referral,11-50,29,278,29,0,,13,77,3,
CUST0132,2022-11-12,Professional,Annual,SaaS,Nigeria,Direct,201-500,79,758,758,0,,16,77,1,
CUST0133,2023-05-14,Business,Annual,Logistics,Australia,Partner,51-200,149,1430,1430,0,,10,90,3,
CUST0134,2023-06-19,Starter,Annual,Logistics,Australia,Referral,1-10,29,278,278,0,2024-03-31,13,41,1,
CUST0135,2023-04-05,Business,Annual,Media,UK,Direct,1-10,149,1430,1430,0,,12,62,3,
CUST0136,2023-08-21,Professional,Annual,EdTech,USA,Organic Search,1-10,79,758,758,0,,7,68,1,
CUST0137,2023-08-31,Starter,Annual,Logistics,India,Organic Search,1-10,29,278,278,0,2024-03-31,14,84,1,
CUST0138,2022-12-20,Starter,Monthly,FinTech,Nigeria,Referral,11-50,29,278,29,1,2023-09-16,9,33,6,Usability issues
CUST0139,2022-10-28,Professional,Annual,EdTech,Nigeria,Referral,11-50,79,758,758,1,2023-11-22,13,79,0,Too expensive
CUST0140,2022-12-10,Professional,Monthly,HealthTech,Nigeria,Paid Ads,1-10,79,758,79,0,,15,74,3,
CUST0141,2022-12-23,Starter,Monthly,HR Tech,India,Referral,11-50,29,278,29,0,,15,74,3,
CUST0142,2022-09-24,Starter,Monthly,E-Commerce,Brazil,Referral,1-10,29,278,29,0,,18,61,3,
CUST0143,2022-05-01,Starter,Annual,FinTech,USA,Organic Search,51-200,29,278,278,1,2023-05-26,13,20,3,Too expensive
CUST0144,2022-05-08,Professional,Monthly,E-Commerce,USA,Direct,1-10,79,758,79,1,2022-08-06,3,44,1,No longer needed
CUST0145,2022-06-29,Starter,Annual,Logistics,Australia,Social Media,201-500,29,278,278,0,,21,54,0,
CUST0146,2023-06-13,Starter,Monthly,Logistics,UK,Referral,51-200,29,278,29,0,,9,47,0,
CUST0147,2023-04-03,Professional,Annual,E-Commerce,Brazil,Organic Search,1-10,79,758,758,0,2024-03-31,16,88,3,
CUST0148,2022-07-14,Enterprise,Monthly,Logistics,USA,Paid Ads,11-50,299,2870,299,0,,20,50,3,
CUST0149,2022-02-28,Starter,Annual,HealthTech,Nigeria,Social Media,51-200,29,278,278,1,2023-02-23,12,39,2,Too expensive
CUST0150,2023-01-20,Business,Annual,EdTech,Germany,Direct,51-200,149,1430,1430,1,2024-01-15,12,79,0,Too expensive
CUST0151,2022-05-12,Professional,Monthly,Logistics,USA,Direct,51-200,79,758,79,0,,22,53,1,
CUST0152,2022-04-28,Starter,Monthly,Media,Canada,Paid Ads,11-50,29,278,29,0,,23,63,0,
CUST0153,2022-10-25,Starter,Annual,EdTech,India,Partner,51-200,29,278,278,0,,17,79,2,
CUST0154,2022-08-02,Business,Monthly,E-Commerce,USA,Partner,11-50,149,1430,149,0,,20,58,1,
CUST0155,2022-09-14,Professional,Monthly,FinTech,UK,Direct,1-10,79,758,79,0,,18,81,1,
CUST0156,2023-03-19,Professional,Monthly,EdTech,UK,Paid Ads,51-200,79,758,79,0,,12,59,3,
CUST0157,2022-09-19,Starter,Monthly,SaaS,USA,Partner,201-500,29,278,29,0,,18,67,0,
CUST0158,2023-04-16,Business,Monthly,E-Commerce,Canada,Paid Ads,51-200,149,1430,149,0,,11,77,3,
CUST0159,2022-03-13,Business,Monthly,Logistics,Nigeria,Direct,1-10,149,1430,149,0,,24,65,3,
CUST0160,2023-04-03,Starter,Annual,Media,Australia,Direct,11-50,29,278,278,1,2023-08-31,5,35,3,Too expensive
CUST0161,2022-11-23,Professional,Annual,Logistics,USA,Referral,1-10,79,758,758,0,,16,67,3,
CUST0162,2023-09-07,Enterprise,Monthly,Media,Brazil,Partner,1-10,299,2870,299,0,,6,71,2,
CUST0163,2022-03-17,Starter,Monthly,HR Tech,Brazil,Social Media,500+,29,278,29,0,,24,41,2,
CUST0164,2022-01-18,Professional,Annual,Media,USA,Referral,201-500,79,758,758,0,,26,51,0,
CUST0165,2023-03-16,Professional,Monthly,Logistics,USA,Paid Ads,201-500,79,758,79,0,,12,56,1,
CUST0166,2022-07-23,Professional,Monthly,Logistics,India,Social Media,201-500,79,758,79,0,,20,57,1,
CUST0167,2023-07-06,Enterprise,Monthly,E-Commerce,USA,Paid Ads,1-10,299,2870,299,0,,8,42,1,
CUST0168,2023-02-18,Starter,Monthly,Logistics,Germany,Organic Search,1-10,29,278,29,1,2023-05-19,3,22,5,Poor support
CUST0169,2022-09-24,Professional,Monthly,SaaS,Australia,Direct,11-50,79,758,79,0,,18,56,0,
CUST0170,2022-12-21,Professional,Monthly,FinTech,Brazil,Organic Search,11-50,79,758,79,0,,15,34,2,
CUST0171,2023-07-15,Starter,Monthly,Logistics,Nigeria,Partner,500+,29,278,29,0,,8,73,1,
CUST0172,2023-08-29,Starter,Monthly,FinTech,Australia,Partner,51-200,29,278,29,0,,7,57,1,
CUST0173,2022-03-27,Professional,Annual,EdTech,Canada,Direct,1-10,79,758,758,1,2022-07-25,4,36,2,No longer needed
CUST0174,2022-08-31,Business,Monthly,Logistics,Australia,Paid Ads,11-50,149,1430,149,1,2024-01-23,17,35,4,Missing features
CUST0175,2023-05-10,Enterprise,Annual,HR Tech,USA,Social Media,201-500,299,2870,2870,0,2024-03-31,18,67,3,
CUST0176,2022-07-12,Starter,Monthly,Logistics,Canada,Referral,201-500,29,278,29,1,2023-12-04,17,20,6,Usability issues
CUST0177,2023-07-04,Professional,Monthly,FinTech,UK,Paid Ads,1-10,79,758,79,1,2023-12-31,6,36,2,Usability issues
CUST0178,2022-07-19,Professional,Annual,SaaS,Nigeria,Referral,11-50,79,758,758,1,2023-09-12,14,65,5,Too expensive
CUST0179,2022-08-18,Starter,Annual,Media,USA,Direct,11-50,29,278,278,0,,19,44,3,
CUST0180,2022-08-25,Professional,Monthly,HR Tech,Germany,Referral,201-500,79,758,79,0,,19,75,2,
CUST0181,2023-01-01,Enterprise,Monthly,E-Commerce,India,Partner,11-50,299,2870,299,0,,15,82,1,
CUST0182,2023-07-25,Professional,Monthly,FinTech,India,Partner,500+,79,758,79,0,,8,90,3,
CUST0183,2023-06-21,Professional,Annual,HealthTech,UK,Referral,1-10,79,758,758,0,,9,86,2,
CUST0184,2022-09-01,Starter,Annual,EdTech,UK,Direct,1-10,29,278,278,1,2023-10-26,14,92,2,Switched to competitor
CUST0185,2022-11-24,Professional,Annual,E-Commerce,Canada,Organic Search,11-50,79,758,758,1,2024-01-18,14,57,0,Too expensive
CUST0186,2023-03-12,Starter,Monthly,Logistics,Australia,Organic Search,11-50,29,278,29,0,,12,73,2,
CUST0187,2022-06-30,Enterprise,Monthly,E-Commerce,UK,Organic Search,11-50,299,2870,299,0,,21,80,3,
CUST0188,2022-03-20,Starter,Monthly,SaaS,Germany,Social Media,201-500,29,278,29,0,,24,96,3,
CUST0189,2023-03-22,Professional,Monthly,HealthTech,UK,Direct,51-200,79,758,79,0,,12,79,1,
CUST0190,2022-12-28,Starter,Annual,E-Commerce,Germany,Paid Ads,201-500,29,278,278,1,2023-12-23,12,77,3,Too expensive
CUST0191,2023-04-24,Enterprise,Monthly,SaaS,Australia,Organic Search,11-50,299,2870,299,1,2024-03-19,11,29,2,Missing features
CUST0192,2023-04-16,Professional,Annual,SaaS,USA,Partner,1-10,79,758,758,0,2024-03-31,12,59,1,
CUST0193,2022-05-12,Starter,Annual,Logistics,USA,Direct,51-200,29,278,278,1,2023-07-06,14,38,5,Too expensive
CUST0194,2022-03-31,Enterprise,Monthly,HealthTech,UK,Paid Ads,11-50,299,2870,299,0,,24,74,2,
CUST0195,2023-07-20,Enterprise,Annual,Media,USA,Direct,51-200,299,2870,2870,0,,8,77,0,
CUST0196,2022-01-23,Business,Monthly,EdTech,India,Partner,11-50,149,1430,149,0,,26,68,0,
CUST0197,2022-03-31,Starter,Monthly,SaaS,Germany,Direct,51-200,29,278,29,0,,24,58,3,
CUST0198,2023-03-30,Starter,Monthly,FinTech,Germany,Social Media,11-50,29,278,29,0,,12,82,0,
CUST0199,2023-04-25,Professional,Annual,E-Commerce,Australia,Social Media,1-10,79,758,758,0,,11,37,1,
CUST0200,2023-03-05,Professional,Annual,Logistics,Nigeria,Referral,11-50,79,758,758,0,,13,41,1,
CUST0201,2022-01-11,Starter,Monthly,Logistics,Canada,Partner,51-200,29,278,29,0,,27,59,2,
CUST0202,2023-01-02,Enterprise,Annual,EdTech,Brazil,Social Media,51-200,299,2870,2870,1,2023-12-28,12,44,2,Too expensive
CUST0203,2022-07-10,Enterprise,Annual,E-Commerce,UK,Organic Search,11-50,299,2870,2870,0,,21,79,0,
CUST0204,2022-08-27,Business,Annual,HealthTech,Canada,Social Media,11-50,149,1430,1430,1,2023-09-21,13,73,2,Too expensive
CUST0205,2022-07-12,Professional,Monthly,Logistics,Nigeria,Social Media,201-500,79,758,79,0,,20,61,3,
CUST0206,2022-06-14,Professional,Annual,Media,USA,Social Media,51-200,79,758,758,1,2023-06-09,12,43,1,Too expensive
CUST0207,2023-03-02,Business,Monthly,Logistics,Germany,Paid Ads,201-500,149,1430,149,0,,13,70,2,
CUST0208,2022-04-05,Professional,Monthly,E-Commerce,USA,Direct,500+,79,758,79,1,2023-03-31,12,52,1,No longer needed
CUST0209,2022-02-10,Professional,Monthly,SaaS,Australia,Organic Search,1-10,79,758,79,1,2023-02-05,12,20,2,No longer needed
CUST0210,2023-04-27,Enterprise,Monthly,Logistics,Australia,Social Media,201-500,299,2870,299,0,,11,52,3,
CUST0211,2022-02-27,Business,Annual,E-Commerce,Nigeria,Partner,1-10,149,1430,1430,1,2024-02-17,24,21,4,Too expensive
CUST0212,2022-02-20,Starter,Annual,HR Tech,USA,Organic Search,1-10,29,278,278,1,2023-04-16,14,53,1,Switched to competitor
CUST0213,2022-10-08,Business,Annual,HealthTech,Germany,Partner,11-50,149,1430,1430,1,2023-12-02,14,15,8,Too expensive
CUST0214,2022-08-30,Starter,Annual,E-Commerce,USA,Referral,51-200,29,278,278,0,,19,73,3,
CUST0215,2023-06-01,Starter,Monthly,Media,Canada,Direct,1-10,29,278,29,0,,10,77,3,
CUST0216,2023-05-01,Starter,Annual,HR Tech,UK,Paid Ads,1-10,29,278,278,0,2024-03-31,12,73,1,
CUST0217,2022-01-01,Enterprise,Annual,EdTech,Germany,Partner,1-10,299,2870,2870,0,,27,85,3,
CUST0218,2023-06-01,Professional,Monthly,HealthTech,Nigeria,Organic Search,11-50,79,758,79,0,,10,74,3,
CUST0219,2022-04-05,Professional,Annual,FinTech,Nigeria,Social Media,51-200,79,758,758,1,2023-04-30,13,41,2,Too expensive
CUST0220,2022-10-18,Starter,Monthly,EdTech,UK,Social Media,201-500,29,278,29,0,,17,75,2,
CUST0221,2022-03-07,Starter,Annual,Media,USA,Organic Search,11-50,29,278,278,1,2023-03-02,12,68,2,Too expensive
CUST0222,2022-11-16,Business,Annual,HR Tech,India,Organic Search,1-10,149,1430,1430,1,2023-11-11,12,34,6,Missing features
CUST0223,2022-05-02,Starter,Annual,SaaS,Australia,Paid Ads,201-500,29,278,278,0,,23,79,1,
CUST0224,2022-07-27,Business,Monthly,Logistics,Brazil,Direct,201-500,149,1430,149,0,,20,90,0,
CUST0225,2023-05-06,Enterprise,Monthly,HealthTech,USA,Social Media,11-50,299,2870,299,1,2024-01-01,8,30,7,Switched to competitor
CUST0226,2022-02-12,Professional,Annual,SaaS,Australia,Paid Ads,201-500,79,758,758,1,2023-03-09,13,23,5,Too expensive
CUST0227,2023-05-08,Business,Annual,Logistics,Germany,Organic Search,500+,149,1430,1430,0,,10,73,2,
CUST0228,2022-06-25,Business,Monthly,Media,Germany,Partner,11-50,149,1430,149,0,,21,54,3,
CUST0229,2022-11-21,Starter,Annual,SaaS,Brazil,Referral,1-10,29,278,278,1,2023-11-16,12,46,8,Too expensive
