ticket_id,customer_id,ticket_date,category,resolved,days_to_resolve
TKT00113,CUST0049,2022-04-07,Technical,1,4
TKT00114,CUST0049,2022-05-27,Bug Report,1,2
TKT00115,CUST0050,2023-12-06,Feature Request,1,8
TKT00116,CUST0050,2023-06-17,Technical,1,7
TKT00117,CUST0050,2023-10-12,Onboarding,1,5
TKT00118,CUST0051,2023-05-01,Feature Request,0,
TKT00119,CUST0052,2023-08-30,Bug Report,0,
TKT00120,CUST0052,2023-08-31,Feature Request,1,12
TKT00121,CUST0053,2022-11-17,Bug Report,1,8
TKT00122,CUST0053,2022-11-02,Bug Report,0,
TKT00123,CUST0053,2022-12-12,Technical,1,13
TKT00124,CUST0053,2022-08-21,Bug Report,1,10
TKT00125,CUST0053,2022-10-17,Technical,1,11
TKT00126,CUST0053,2022-10-29,Feature Request,1,8
TKT00127,CUST0054,2023-05-24,Bug Report,1,13
TKT00128,CUST0055,2023-05-07,Bug Report,1,4
TKT00129,CUST0055,2024-03-20,Bug Report,1,14
TKT00130,CUST0056,2022-08-27,Onboarding,0,
TKT00131,CUST0056,2022-11-01,Technical,1,2
TKT00132,CUST0057,2023-02-02,Onboarding,1,8
TKT00133,CUST0057,2023-02-27,Billing,0,
TKT00134,CUST0058,2023-10-25,Feature Request,1,3
TKT00135,CUST0058,2024-01-27,Billing,1,10
TKT00136,CUST0059,2022-07-19,Billing,0,
TKT00137,CUST0059,2023-04-13,Bug Report,1,2
TKT00138,CUST0059,2022-12-14,Bug Report,1,14
TKT00139,CUST0059,2023-03-21,Bug Report,0,
TKT00140,CUST0059,2022-08-18,Billing,1,13
TKT00141,CUST0061,2023-12-02,Bug Report,1,7
TKT00142,CUST0061,2024-02-08,Onboarding,1,5
TKT00143,CUST0061,2023-10-08,Bug Report,1,4
TKT00144,CUST0061,2023-08-28,Bug Report,1,9
TKT00145,CUST0061,2023-12-20,Bug Report,0,
TKT00146,CUST0061,2023-09-05,Onboarding,0,
TKT00147,CUST0062,2024-03-19,Feature Request,1,8
TKT00148,CUST0064,2022-10-07,Bug Report,1,8
TKT00149,CUST0064,2023-03-21,Onboarding,1,13
TKT00150,CUST0064,2023-06-23,Billing,0,
TKT00151,CUST0065,2024-02-25,Bug Report,1,1
TKT00152,CUST0065,2023-10-03,Bug Report,1,8
TKT00153,CUST0065,2022-01-24,Billing,1,5
TKT00154,CUST0066,2023-10-13,Onboarding,1,4
TKT00155,CUST0066,2023-03-03,Feature Request,0,
TKT00156,CUST0066,2022-10-28,Technical,1,9
TKT00157,CUST0067,2023-10-03,Bug Report,1,9
TKT00158,CUST0067,2023-06-06,Bug Report,1,12
TKT00159,CUST0068,2023-10-17,Billing,0,
TKT00160,CUST0068,2023-11-20,Feature Request,0,
TKT00161,CUST0068,2023-10-17,Feature Request,1,12
TKT00162,CUST0069,2022-04-02,Onboarding,1,13
TKT00163,CUST0070,2023-08-30,Technical,1,9
TKT00164,CUST0070,2024-03-16,Technical,1,10
TKT00165,CUST0071,2024-01-30,Bug Report,1,4
TKT00166,CUST0072,2024-03-21,Bug Report,0,
TKT00167,CUST0072,2024-02-20,Billing,1,8
TKT00168,CUST0072,2024-01-01,Onboarding,1,2
TKT00169,CUST0073,2023-04-09,Technical,0,
TKT00170,CUST0073,2023-05-30,Technical,1,8
TKT00171,CUST0073,2023-06-25,Onboarding,0,
TKT00172,CUST0073,2023-04-11,Onboarding,0,
TKT00173,CUST0074,2023-07-04,Billing,1,6
TKT00174,CUST0074,2023-10-10,Bug Report,1,7
TKT00175,CUST0074,2023-08-09,Bug Report,1,4
TKT00176,CUST0074,2023-08-08,Bug Report,1,10
TKT00177,CUST0074,2023-06-27,Onboarding,1,1
TKT00178,CUST0074,2023-07-05,Technical,0,
TKT00179,CUST0074,2023-04-25,Onboarding,1,4
TKT00180,CUST0075,2023-02-08,Billing,0,
TKT00181,CUST0076,2024-01-05,Onboarding,1,4
TKT00182,CUST0076,2023-11-01,Onboarding,1,2
TKT00183,CUST0076,2023-07-01,Bug Report,1,2
TKT00184,CUST0077,2023-11-25,Onboarding,1,3
TKT00185,CUST0077,2023-12-14,Bug Report,1,10
TKT00186,CUST0079,2023-10-07,Technical,1,11
TKT00187,CUST0079,2023-07-16,Technical,1,3
TKT00188,CUST0079,2023-10-27,Feature Request,1,14
TKT00189,CUST0079,2023-11-09,Bug Report,1,3
TKT00190,CUST0079,2023-07-23,Billing,1,11
TKT00191,CUST0079,2023-11-04,Bug Report,0,
TKT00192,CUST0080,2023-08-08,Billing,0,
TKT00193,CUST0082,2023-12-11,Feature Request,0,
TKT00194,CUST0082,2024-02-14,Technical,1,14
TKT00195,CUST0082,2023-11-29,Feature Request,1,8
TKT00196,CUST0083,2022-12-21,Onboarding,1,6
TKT00197,CUST0083,2022-12-19,Onboarding,0,
TKT00198,CUST0083,2023-02-18,Billing,0,
TKT00199,CUST0083,2022-12-12,Feature Request,0,
TKT00200,CUST0083,2023-03-29,Onboarding,1,3
TKT00201,CUST0083,2023-04-05,Technical,1,12
TKT00202,CUST0084,2023-11-20,Onboarding,1,12
TKT00203,CUST0084,2022-10-19,Onboarding,1,8
TKT00204,CUST0085,2023-03-04,Feature Request,1,13
TKT00205,CUST0085,2023-02-19,Technical,0,
TKT00206,CUST0085,2023-03-04,Billing,1,6
TKT00207,CUST0085,2023-03-05,Billing,1,9
TKT00208,CUST0086,2023-01-30,Billing,1,14
TKT00209,CUST0086,2023-01-08,Onboarding,1,12
TKT00210,CUST0086,2022-12-27,Onboarding,0,
TKT00211,CUST0087,2023-08-27,Bug Report,0,
TKT00212,CUST0087,2023-12-03,Onboarding,1,12
TKT00213,CUST0088,2023-07-26,Onboarding,0,
TKT00214,CUST0089,2023-10-16,Bug Report,1,4
TKT00215,CUST0090,2023-07-26,Bug Report,1,1
TKT00216,CUST0090,2023-12-20,Technical,0,
TKT00217,CUST0090,2023-10-28,Feature Request,1,11
TKT00218,CUST0091,2022-09-26,Bug Report,1,6
TKT00219,CUST0091,2022-09-17,Feature Request,1,4
TKT00220,CUST0092,2023-01-24,Feature Request,0,
TKT00221,CUST0092,2023-11-07,Bug Report,1,14
TKT00222,CUST0092,2023-12-19,Bug Report,1,13
TKT00223,CUST0093,2023-09-23,Feature Request,1,13
TKT00224,CUST0094,2023-04-11,Feature Request,0,
TKT00225,CUST0095,2022-08-11,Onboarding,1,12
TKT00226,CUST0095,2023-07-24,Feature Request,1,6
TKT00227,CUST0096,2022-07-30,Bug Report,0,
TKT00228,CUST0096,2022-09-04,Technical,1,3
TKT00229,CUST0097,2024-01-14,Feature Request,0,
TKT00230,CUST0098,2022-03-29,Feature Request,1,6
TKT00231,CUST0098,2023-12-24,Billing,0,
TKT00232,CUST0099,2022-01-30,Onboarding,1,5
TKT00233,CUST0102,2024-01-16,Billing,1,5
TKT00234,CUST0102,2023-12-26,Bug Report,1,9
TKT00235,CUST0103,2023-09-02,Billing,1,6
TKT00236,CUST0103,2023-09-25,Technical,1,7
TKT00237,CUST0103,2023-08-16,Billing,1,7
TKT00238,CUST0103,2023-08-14,Onboarding,1,13
TKT00239,CUST0103,2023-09-26,Bug Report,1,7
TKT00240,CUST0103,2023-07-30,Billing,1,1
TKT00241,CUST0103,2023-08-11,Bug Report,1,9
TKT00242,CUST0104,2023-11-10,Feature Request,1,9
TKT00243,CUST0104,2023-08-21,Billing,1,2
TKT00244,CUST0105,2023-09-09,Billing,1,10
TKT00245,CUST0106,2023-08-26,Technical,1,13
TKT00246,CUST0106,2023-08-28,Onboarding,1,1
TKT00247,CUST0106,2023-08-14,Feature Request,1,1
TKT00248,CUST0108,2023-04-06,Feature Request,1,3
TKT00249,CUST0109,2023-08-02,Billing,1,11
TKT00250,CUST0109,2023-08-12,Billing,0,
TKT00251,CUST0109,2023-10-05,Feature Request,0,
TKT00252,CUST0109,2023-11-07,Onboarding,0,
TKT00253,CUST0109,2023-08-30,Onboarding,1,13
TKT00254,CUST0110,2024-01-04,Technical,1,4
TKT00255,CUST0110,2024-03-15,Feature Request,1,3
TKT00256,CUST0110,2023-10-10,Billing,0,
TKT00257,CUST0111,2023-10-09,Feature Request,1,12
TKT00258,CUST0112,2024-01-31,Feature Request,0,
TKT00259,CUST0112,2024-01-03,Bug Report,1,9
TKT00260,CUST0113,2022-12-08,Technical,1,9
TKT00261,CUST0113,2022-11-11,Onboarding,1,1
TKT00262,CUST0113,2022-05-09,Technical,0,
TKT00263,CUST0113,2023-02-20,Technical,0,
TKT00264,CUST0113,2022-08-19,Bug Report,1,7
TKT00265,CUST0113,2022-10-26,Onboarding,1,8
TKT00266,CUST0115,2024-03-31,Billing,1,14
TKT00267,CUST0115,2023-09-26,Onboarding,1,12
TKT00268,CUST0117,2024-02-22,Bug Report,1,8
TKT00269,CUST0117,2024-03-21,Billing,1,14
TKT00270,CUST0117,2024-01-16,Feature Request,0,
TKT00271,CUST0120,2023-10-19,Billing,0,
TKT00272,CUST0120,2023-11-08,Billing,1,1
TKT00273,CUST0120,2023-05-23,Technical,0,
TKT00274,CUST0120,2023-09-30,Bug Report,0,
TKT00275,CUST0120,2023-11-11,Bug Report,1,14
TKT00276,CUST0120,2023-11-21,Onboarding,1,4
TKT00277,CUST0120,2023-09-24,Technical,0,
TKT00278,CUST0122,2023-08-06,Technical,1,3
TKT00279,CUST0122,2023-07-27,Technical,0,
TKT00280,CUST0122,2023-08-05,Bug Report,1,12
TKT00281,CUST0122,2023-07-24,Bug Report,1,7
TKT00282,CUST0122,2023-07-20,Billing,1,2
TKT00283,CUST0123,2023-12-15,Technical,1,7
TKT00284,CUST0123,2023-07-19,Billing,1,4
TKT00285,CUST0124,2023-02-24,Technical,1,9
TKT00286,CUST0124,2023-10-11,Onboarding,0,
TKT00287,CUST0124,2022-07-21,Bug Report,0,
TKT00288,CUST0125,2023-06-13,Technical,1,12
TKT00289,CUST0125,2022-09-15,Billing,0,
TKT00290,CUST0125,2023-05-17,Bug Report,1,5
TKT00291,CUST0125,2023-03-04,Technical,1,14
TKT00292,CUST0128,2023-04-27,Feature Request,1,9
TKT00293,CUST0129,2023-10-25,Billing,1,3
TKT00294,CUST0130,2023-09-16,Onboarding,0,
TKT00295,CUST0131,2023-09-14,Billing,1,14
TKT00296,CUST0131,2023-11-05,Bug Report,0,
TKT00297,CUST0131,2024-02-12,Bug Report,0,
TKT00298,CUST0132,2022-12-13,Feature Request,1,7
TKT00299,CUST0133,2023-07-05,Billing,1,6
TKT00300,CUST0133,2023-05-21,Feature Request,1,9
TKT00301,CUST0133,2023-08-17,Bug Report,0,
TKT00302,CUST0134,2024-02-01,Technical,1,1
TKT00303,CUST0135,2023-12-05,Onboarding,1,9
TKT00304,CUST0135,2024-02-16,Bug Report,1,7
TKT00305,CUST0135,2023-07-11,Technical,0,
TKT00306,CUST0136,2024-03-06,Technical,1,6
TKT00307,CUST0137,2024-01-18,Billing,1,11
TKT00308,CUST0138,2023-02-12,Technical,1,6
TKT00309,CUST0138,2023-07-12,Billing,1,7
TKT00310,CUST0138,2023-02-23,Bug Report,1,3
TKT00311,CUST0138,2023-04-09,Feature Request,1,6
TKT00312,CUST0138,2023-05-24,Billing,0,
TKT00313,CUST0138,2023-08-25,Onboarding,1,7
TKT00314,CUST0140,2023-06-30,Bug Report,1,11
TKT00315,CUST0140,2023-05-24,Technical,1,4
TKT00316,CUST0140,2023-09-30,Feature Request,1,7
TKT00317,CUST0141,2023-04-10,Bug Report,1,12
TKT00318,CUST0141,2023-06-12,Feature Request,1,10
TKT00319,CUST0141,2023-10-11,Billing,1,7
TKT00320,CUST0142,2023-08-05,Onboarding,1,12
TKT00321,CUST0142,2022-11-07,Onboarding,1,12
TKT00322,CUST0142,2023-03-24,Onboarding,0,
TKT00323,CUST0143,2022-09-11,Feature Request,1,7
TKT00324,CUST0143,2022-07-08,Billing,1,13
TKT00325,CUST0143,2022-11-29,Billing,0,
TKT00326,CUST0144,2022-07-24,Billing,0,
TKT00327,CUST0147,2023-06-28,Bug Report,1,10
TKT00328,CUST0147,2023-04-26,Onboarding,1,3
TKT00329,CUST0147,2024-03-10,Feature Request,0,
TKT00330,CUST0148,2022-07-27,Billing,0,
TKT00331,CUST0148,2023-05-15,Onboarding,1,3
TKT00332,CUST0148,2022-12-26,Bug Report,0,
TKT00333,CUST0149,2022-12-09,Onboarding,0,
TKT00334,CUST0149,2022-09-11,Billing,1,14
TKT00335,CUST0151,2024-02-08,Onboarding,0,
TKT00336,CUST0153,2023-03-13,Bug Report,1,12
TKT00337,CUST0153,2023-05-23,Bug Report,1,11
TKT00338,CUST0154,2023-07-17,Billing,0,
TKT00339,CUST0155,2023-01-23,Bug Report,1,8
TKT00340,CUST0156,2023-08-12,Billing,0,
TKT00341,CUST0156,2023-09-13,Feature Request,1,14
TKT00342,CUST0156,2023-07-29,Bug Report,1,1
TKT00343,CUST0158,2023-12-27,Billing,1,12
TKT00344,CUST0158,2023-10-23,Feature Request,0,
TKT00345,CUST0158,2024-02-06,Onboarding,0,
TKT00346,CUST0159,2023-05-12,Technical,1,13
TKT00347,CUST0159,2023-08-22,Billing,1,2
TKT00348,CUST0159,2023-06-30,Onboarding,1,9
TKT00349,CUST0160,2023-04-09,Technical,1,11
TKT00350,CUST0160,2023-05-15,Onboarding,1,14
TKT00351,CUST0160,2023-05-24,Billing,0,
TKT00352,CUST0161,2023-11-01,Technical,1,7
TKT00353,CUST0161,2024-03-31,Billing,0,
TKT00354,CUST0161,2023-01-09,Feature Request,1,2
TKT00355,CUST0162,2023-10-05,Bug Report,1,12
TKT00356,CUST0162,2024-02-14,Feature Request,1,4
TKT00357,CUST0163,2022-06-21,Billing,1,11
TKT00358,CUST0163,2022-10-12,Technical,1,9
TKT00359,CUST0165,2023-07-26,Technical,1,8
TKT00360,CUST0166,2022-07-28,Bug Report,1,12
TKT00361,CUST0167,2023-07-15,Bug Report,1,8
TKT00362,CUST0168,2023-03-16,Technical,0,
TKT00363,CUST0168,2023-03-13,Bug Report,1,14
TKT00364,CUST0168,2023-04-23,Feature Request,1,4
TKT00365,CUST0168,2023-04-20,Technical,1,3
TKT00366,CUST0168,2023-03-03,Bug Report,1,6
TKT00367,CUST0170,2023-05-29,Bug Report,1,13
TKT00368,CUST0170,2023-11-12,Bug Report,1,14
TKT00369,CUST0171,2023-07-20,Feature Request,1,3
TKT00370,CUST0172,2023-08-30,Feature Request,1,10
TKT00371,CUST0173,2022-07-11,Onboarding,1,1
TKT00372,CUST0173,2022-07-20,Feature Request,0,
TKT00373,CUST0174,2023-06-12,Bug Report,0,
TKT00374,CUST0174,2022-11-13,Billing,0,
TKT00375,CUST0174,2023-01-14,Feature Request,1,13
TKT00376,CUST0174,2023-07-26,Feature Request,1,9
TKT00377,CUST0175,2023-06-09,Feature Request,1,8
TKT00378,CUST0175,2024-03-11,Technical,0,
TKT00379,CUST0175,2023-12-22,Onboarding,0,
TKT00380,CUST0176,2023-11-15,Onboarding,0,
TKT00381,CUST0176,2023-06-24,Bug Report,0,
TKT00382,CUST0176,2023-07-24,Onboarding,1,13
TKT00383,CUST0176,2022-11-03,Billing,1,10
TKT00384,CUST0176,2022-11-04,Bug Report,0,
TKT00385,CUST0176,2022-07-12,Billing,1,7
TKT00386,CUST0177,2023-12-14,Bug Report,1,6
TKT00387,CUST0177,2023-11-09,Billing,1,8
TKT00388,CUST0178,2022-09-30,Billing,0,
TKT00389,CUST0178,2022-09-15,Bug Report,0,
TKT00390,CUST0178,2023-09-03,Feature Request,1,8
TKT00391,CUST0178,2023-01-18,Technical,1,7
TKT00392,CUST0178,2022-08-03,Onboarding,0,
TKT00393,CUST0179,2022-11-14,Onboarding,1,8
TKT00394,CUST0179,2022-12-01,Billing,1,10
TKT00395,CUST0179,2024-01-30,Bug Report,1,7
TKT00396,CUST0180,2023-10-15,Billing,1,14
TKT00397,CUST0180,2024-03-22,Feature Request,1,9
TKT00398,CUST0181,2023-06-19,Onboarding,1,11
TKT00399,CUST0182,2023-11-08,Bug Report,1,13
TKT00400,CUST0182,2023-12-19,Bug Report,1,4
TKT00401,CUST0182,2023-10-23,Billing,1,5
TKT00402,CUST0183,2023-06-22,Technical,1,14
TKT00403,CUST0183,2023-09-18,Onboarding,0,
TKT00404,CUST0184,2022-09-26,Billing,0,
TKT00405,CUST0184,2023-10-08,Onboarding,0,
TKT00406,CUST0186,2024-01-11,Bug Report,0,
TKT00407,CUST0186,2024-02-15,Bug Report,0,
TKT00408,CUST0187,2023-09-24,Feature Request,1,14
TKT00409,CUST0187,2023-03-12,Onboarding,0,
TKT00410,CUST0187,2023-03-15,Technical,1,8
TKT00411,CUST0188,2022-06-16,Onboarding,1,3
TKT00412,CUST0188,2024-01-12,Feature Request,1,1
TKT00413,CUST0188,2022-11-04,Bug Report,0,
TKT00414,CUST0189,2023-12-02,Bug Report,1,5
TKT00415,CUST0190,2023-07-18,Onboarding,1,6
TKT00416,CUST0190,2023-02-08,Billing,0,
TKT00417,CUST0190,2023-08-17,Billing,1,8
TKT00418,CUST0191,2023-06-03,Bug Report,0,
TKT00419,CUST0191,2023-06-25,Billing,1,1
TKT00420,CUST0192,2024-01-13,Feature Request,0,
TKT00421,CUST0193,2023-06-12,Feature Request,1,4
TKT00422,CUST0193,2023-05-25,Technical,0,
TKT00423,CUST0193,2022-11-22,Onboarding,1,12
TKT00424,CUST0193,2023-01-19,Technical,1,13
TKT00425,CUST0193,2022-05-19,Bug Report,0,
TKT00426,CUST0194,2022-08-03,Technical,1,6
TKT00427,CUST0194,2022-11-27,Technical,1,7
TKT00428,CUST0197,2023-03-02,Bug Report,1,1
TKT00429,CUST0197,2022-06-06,Feature Request,1,11
TKT00430,CUST0197,2022-08-01,Onboarding,1,2
TKT00431,CUST0199,2023-08-07,Technical,0,
TKT00432,CUST0200,2023-04-02,Feature Request,1,11
TKT00433,CUST0201,2023-06-09,Technical,1,8
TKT00434,CUST0201,2022-02-11,Feature Request,1,13
TKT00435,CUST0202,2023-04-10,Bug Report,1,13
TKT00436,CUST0202,2024-02-05,Bug Report,1,5
TKT00437,CUST0204,2024-03-29,Billing,1,8
TKT00438,CUST0204,2023-08-05,Technical,1,12
TKT00439,CUST0205,2023-08-15,Technical,1,11
TKT00440,CUST0205,2023-07-06,Technical,0,
TKT00441,CUST0205,2022-12-22,Feature Request,1,2
TKT00442,CUST0206,2023-07-03,Feature Request,1,8
TKT00443,CUST0207,2023-12-20,Feature Request,1,13
TKT00444,CUST0207,2024-01-31,Feature Request,0,
TKT00445,CUST0208,2022-08-19,Feature Request,0,
TKT00446,CUST0209,2022-04-26,Billing,1,2
TKT00447,CUST0209,2022-11-03,Feature Request,1,2
TKT00448,CUST0210,2024-01-20,Bug Report,0,
TKT00449,CUST0210,2023-08-14,Onboarding,0,
TKT00450,CUST0210,2023-11-15,Billing,1,6
TKT00451,CUST0211,2022-12-31,Billing,1,13
TKT00452,CUST0211,2023-03-25,Bug Report,1,12
TKT00453,CUST0211,2023-09-06,Billing,1,5
TKT00454,CUST0211,2023-03-07,Feature Request,1,2
TKT00455,CUST0212,2023-01-19,Feature Request,1,5
TKT00456,CUST0213,2023-07-10,Bug Report,1,13
TKT00457,CUST0213,2022-10-27,Billing,1,13
TKT00458,CUST0213,2022-10-15,Onboarding,1,12
TKT00459,CUST0213,2023-02-07,Billing,1,5
TKT00460,CUST0213,2023-03-10,Billing,0,
TKT00461,CUST0213,2023-02-26,Onboarding,1,13
TKT00462,CUST0213,2023-05-07,Billing,1,11
TKT00463,CUST0213,2023-04-27,Onboarding,0,
TKT00464,CUST0214,2022-09-03,Bug Report,1,6
TKT00465,CUST0214,2023-07-19,Feature Request,1,12
TKT00466,CUST0214,2023-08-28,Feature Request,1,12
TKT00467,CUST0215,2024-03-17,Technical,1,5
TKT00468,CUST0215,2023-08-14,Bug Report,1,8
TKT00469,CUST0215,2023-07-24,Technical,1,11
TKT00470,CUST0216,2023-09-26,Feature Request,1,5
TKT00471,CUST0217,2023-08-08,Bug Report,1,3
TKT00472,CUST0217,2022-10-22,Onboarding,1,6
TKT00473,CUST0217,2023-12-15,Technical,1,5
TKT00474,CUST0218,2023-07-18,Technical,1,4
TKT00475,CUST0218,2024-03-23,Technical,0,
TKT00476,CUST0218,2023-10-01,Technical,1,12
TKT00477,CUST0219,2023-02-22,Onboarding,1,14
TKT00478,CUST0219,2022-09-15,Onboarding,1,5
TKT00479,CUST0220,2023-12-16,Onboarding,1,14
TKT00480,CUST0220,2024-01-03,Onboarding,0,
TKT00481,CUST0221,2023-07-13,Technical,1,7
TKT00482,CUST0221,2023-05-26,Bug Report,0,
TKT00483,CUST0222,2023-03-21,Bug Report,1,3
TKT00484,CUST0222,2023-05-19,Feature Request,1,5
TKT00485,CUST0222,2023-06-14,Billing,1,4
TKT00486,CUST0222,2023-02-21,Onboarding,1,7
TKT00487,CUST0222,2023-04-06,Billing,1,2
TKT00488,CUST0222,2023-01-15,Bug Report,1,13
TKT00489,CUST0223,2023-02-11,Onboarding,1,14
TKT00490,CUST0225,2023-06-10,Feature Request,1,11
TKT00491,CUST0225,2023-10-12,Technical,0,
TKT00492,CUST0225,2023-12-15,Technical,1,7
TKT00493,CUST0225,2023-11-27,Onboarding,1,8
TKT00494,CUST0225,2023-09-21,Technical,0,
TKT00495,CUST0225,2023-12-13,Bug Report,0,
TKT00496,CUST0225,2023-10-08,Technical,1,12
TKT00497,CUST0226,2023-01-22,Bug Report,1,6
TKT00498,CUST0226,2022-10-19,Onboarding,0,
